,Tanggal_Penerbangan,Hari,Maskapai,Nomor_Penerbangan,Bandara_Asal,Kode_IATA_Asal,Bandara_Tujuan,Kode_IATA_Tujuan,Jadwal_Keberangkatan,Jadwal_Kedatangan,Kota_tujuan,Deskripsi_tujuan,Suhu_Celcius_tujuan,Kelembaban_%_tujuan,Tekanan_hPa_tujuan,Kecepatan_Angin_m/s_tujuan,Kecepatan_Angin_km_jam_tujuan,Kota_Asal,Rute,Durasi_Actual,Durasi_Normal,Keterlambatan_Kedatangan
662,2025-08-13,Rabu,Batik Air,ID6554O,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-13 06:00:00,2025-08-13 09:20:00,Makassar,hujan ringan,34.0,69,1015,1.9,6.84,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
663,2025-08-14,Kamis,Super Air Jet,IU902G,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,2025-08-14 09:35:00,2025-08-14 11:20:00,Padang,hujan ringan,31.5,84,1012,1.6,5.760000000000001,Jakarta,Jakarta-Padang,105.0,110.0,-5.0
664,2025-08-15,Jumat,Pelita Air,IP802D,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-15 11:30:00,2025-08-15 14:50:00,Makassar,cerah,28.6,87,1011,4.0,14.4,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
665,2025-08-16,Sabtu,Lion Air,JT175H,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-16 16:15:00,2025-08-16 19:35:00,Makassar,gerimis,31.8,78,1009,4.0,14.4,Jakarta,Jakarta-Makassar,200.0,200.0,0.0
666,2025-08-17,Minggu,Sriwijaya Air,SJ598K,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-17 22:15:00,2025-08-17 01:40:00,Makassar,hujan ringan,25.2,62,1009,4.0,14.4,Jakarta,Jakarta-Makassar,-1235.0,200.0,-1435.0
667,2025-08-20,Rabu,Garuda Indonesia,GA404B,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-20 09:40:00,2025-08-20 12:35:00,Denpasar,gerimis,28.0,90,1013,4.2,15.120000000000001,Jakarta,Jakarta-Denpasar,175.0,,
668,2025-08-21,Kamis,Pelita Air,IP108Q,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-21 12:05:00,2025-08-21 14:55:00,Denpasar,badai petir,25.6,77,1014,4.1,14.76,Jakarta,Jakarta-Denpasar,170.0,,
669,2025-08-22,Jumat,Citilink,QG720U,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-22 20:00:00,2025-08-22 21:30:00,Surabaya,gerimis,32.2,72,1010,4.9,17.64,Jakarta,Jakarta-Surabaya,90.0,80.0,10.0
670,2025-08-23,Sabtu,Garuda Indonesia,GA604L,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-08-23 01:35:00,2025-08-23 05:10:00,Makassar,cerah,31.2,66,1013,4.1,14.76,Jakarta,Jakarta-Makassar,215.0,200.0,15.0
671,2025-08-24,Minggu,AirAsia,AK802S,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-24 06:20:00,2025-08-24 09:10:00,Denpasar,cerah,28.2,80,1012,4.9,17.64,Jakarta,Jakarta-Denpasar,170.0,,
672,2025-08-27,Rabu,TransNusa,8B5106W,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-27 10:30:00,2025-08-27 13:20:00,Denpasar,cerah,29.0,88,1014,2.3,8.28,Jakarta,Jakarta-Denpasar,170.0,,
673,2025-08-28,Kamis,Super Air Jet,IU740F,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-28 07:40:00,2025-08-28 10:30:00,Denpasar,hujan ringan,28.0,63,1008,4.2,15.120000000000001,Jakarta,Jakarta-Denpasar,170.0,,
674,2025-08-29,Jumat,Citilink,QG716S,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-29 11:45:00,2025-08-29 13:25:00,Surabaya,gerimis,33.7,82,1014,1.7,6.12,Jakarta,Jakarta-Surabaya,100.0,80.0,20.0
675,2025-08-30,Sabtu,Citilink,QG716S,Soekarno-Hatta International,CGK,Juanda,SUB,2025-08-30 11:45:00,2025-08-30 13:25:00,Surabaya,gerimis,33.7,82,1014,1.7,6.12,Jakarta,Jakarta-Surabaya,100.0,80.0,20.0
676,2025-08-31,Minggu,AirAsia,AK802L,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-08-31 06:20:00,2025-08-31 09:10:00,Denpasar,cerah,28.2,80,1012,4.9,17.64,Jakarta,Jakarta-Denpasar,170.0,,
677,2025-09-03,Rabu,Pelita Air,IP350J,Soekarno-Hatta International,CGK,Minangkabau International Airport,PDG,2025-09-03 06:10:00,2025-09-03 07:55:00,Padang,berkabut,26.3,87,1008,4.4,15.840000000000002,Jakarta,Jakarta-Padang,105.0,110.0,-5.0
678,2025-09-04,Kamis,Batik Air,ID6576Q,Soekarno-Hatta International,CGK,Juanda,SUB,2025-09-04 17:00:00,2025-09-04 18:25:00,Surabaya,berkabut,31.4,88,1015,2.7,9.72,Jakarta,Jakarta-Surabaya,85.0,80.0,5.0
679,2025-07-30,Rabu,Citilink,QG682U,Soekarno-Hatta International,CGK,Ngurah Rai International,DPS,2025-07-30 08:00:00,2025-07-30 10:55:00,Denpasar,hujan ringan,28.0,63,1008,4.2,15.120000000000001,Jakarta,Jakarta-Denpasar,175.0,,
680,2025-07-31,Kamis,Sriwijaya Air,SJ592P,Soekarno-Hatta International,CGK,Hasanudin,UPG,2025-07-31 00:30:00,2025-07-31 03:55:00,Makassar,cerah,31.2,66,1013,4.1,14.76,Jakarta,Jakarta-Makassar,205.0,200.0,5.0
